full_path,package,module,type,ats,totals,WDTs
libraries/Cabal/Cabal/src/Distribution/PackageDescription/FieldGrammar.hs,Cabal,FieldGrammar.hs,classes,10,11,0
libraries/Cabal/Cabal/src/Distribution/PackageDescription/FieldGrammar.hs,Cabal,FieldGrammar.hs,instances,10,11,0
libraries/Cabal/Cabal/src/Distribution/PackageDescription/FieldGrammar.hs,Cabal,FieldGrammar.hs,terms,10,11,0
libraries/Cabal/Cabal/src/Distribution/Types/Version.hs,Cabal,Version.hs,classes,1,0,0
libraries/Cabal/Cabal/src/Distribution/Types/Version.hs,Cabal,Version.hs,instances,1,0,0
libraries/Cabal/Cabal/src/Distribution/Types/Version.hs,Cabal,Version.hs,terms,1,0,0
libraries/Cabal/Cabal/src/Distribution/SPDX/LicenseExpression.hs,Cabal,LicenseExpression.hs,classes,1,0,0
libraries/Cabal/Cabal/src/Distribution/SPDX/LicenseExpression.hs,Cabal,LicenseExpression.hs,instances,1,0,0
libraries/Cabal/Cabal/src/Distribution/SPDX/LicenseExpression.hs,Cabal,LicenseExpression.hs,terms,1,0,0
libraries/Cabal/Cabal/src/Distribution/Compat/Lens.hs,Cabal,Lens.hs,classes,1,1,0
libraries/Cabal/Cabal/src/Distribution/Compat/Lens.hs,Cabal,Lens.hs,instances,1,1,0
libraries/Cabal/Cabal/src/Distribution/Compat/Lens.hs,Cabal,Lens.hs,terms,1,1,0
libraries/haskeline/System/Console/Haskeline/Completion.hs,haskeline,Completion.hs,classes,1,0,0
libraries/haskeline/System/Console/Haskeline/Completion.hs,haskeline,Completion.hs,instances,1,0,0
libraries/haskeline/System/Console/Haskeline/Completion.hs,haskeline,Completion.hs,terms,1,0,0
libraries/haskeline/System/Console/Haskeline/Command/KillRing.hs,haskeline,KillRing.hs,classes,1,4,0
libraries/haskeline/System/Console/Haskeline/Command/KillRing.hs,haskeline,KillRing.hs,instances,1,4,0
libraries/haskeline/System/Console/Haskeline/Command/KillRing.hs,haskeline,KillRing.hs,terms,1,4,0
libraries/haskeline/System/Console/Haskeline/Command/History.hs,haskeline,History.hs,classes,1,5,0
libraries/haskeline/System/Console/Haskeline/Command/History.hs,haskeline,History.hs,instances,1,5,0
libraries/haskeline/System/Console/Haskeline/Command/History.hs,haskeline,History.hs,terms,1,5,0
libraries/haskeline/System/Console/Haskeline/RunCommand.hs,haskeline,RunCommand.hs,classes,3,3,0
libraries/haskeline/System/Console/Haskeline/RunCommand.hs,haskeline,RunCommand.hs,instances,3,3,0
libraries/haskeline/System/Console/Haskeline/RunCommand.hs,haskeline,RunCommand.hs,terms,3,3,0
libraries/parsec/src/Text/Parsec/Expr.hs,parsec,Expr.hs,classes,1,1,0
libraries/parsec/src/Text/Parsec/Expr.hs,parsec,Expr.hs,instances,1,1,0
libraries/parsec/src/Text/Parsec/Expr.hs,parsec,Expr.hs,terms,1,1,0
libraries/parsec/src/Text/Parsec/Char.hs,parsec,Char.hs,classes,2,19,0
libraries/parsec/src/Text/Parsec/Char.hs,parsec,Char.hs,instances,2,19,0
libraries/parsec/src/Text/Parsec/Char.hs,parsec,Char.hs,terms,2,19,0
libraries/base/Control/Monad.hs,base,Monad.hs,classes,0,2,0
libraries/base/Control/Monad.hs,base,Monad.hs,instances,0,2,0
libraries/base/Control/Monad.hs,base,Monad.hs,terms,0,2,0
libraries/base/Data/Bitraversable.hs,base,Bitraversable.hs,classes,0,5,0
libraries/base/Data/Bitraversable.hs,base,Bitraversable.hs,instances,0,5,0
libraries/base/Data/Bitraversable.hs,base,Bitraversable.hs,terms,0,5,0
libraries/terminfo/System/Console/Terminfo/Keys.hs,terminfo,Keys.hs,classes,0,14,0
libraries/terminfo/System/Console/Terminfo/Keys.hs,terminfo,Keys.hs,instances,0,14,0
libraries/terminfo/System/Console/Terminfo/Keys.hs,terminfo,Keys.hs,terms,0,14,0
libraries/terminfo/System/Console/Terminfo/Base.hs,terminfo,Base.hs,classes,0,2,0
libraries/terminfo/System/Console/Terminfo/Base.hs,terminfo,Base.hs,instances,0,2,0
libraries/terminfo/System/Console/Terminfo/Base.hs,terminfo,Base.hs,terms,0,2,0
libraries/terminfo/System/Console/Terminfo/Edit.hs,terminfo,Edit.hs,classes,0,4,0
libraries/terminfo/System/Console/Terminfo/Edit.hs,terminfo,Edit.hs,instances,0,4,0
libraries/terminfo/System/Console/Terminfo/Edit.hs,terminfo,Edit.hs,terms,0,4,0
libraries/terminfo/System/Console/Terminfo/Cursor.hs,terminfo,Cursor.hs,classes,0,23,0
libraries/terminfo/System/Console/Terminfo/Cursor.hs,terminfo,Cursor.hs,instances,0,23,0
libraries/terminfo/System/Console/Terminfo/Cursor.hs,terminfo,Cursor.hs,terms,0,23,0
libraries/containers/containers/src/Data/Sequence/Internal.hs,containers,Internal.hs,classes,0,4,0
libraries/containers/containers/src/Data/Sequence/Internal.hs,containers,Internal.hs,instances,0,4,0
libraries/containers/containers/src/Data/Sequence/Internal.hs,containers,Internal.hs,terms,0,4,0
libraries/containers/containers-tests/src/Data/Sequence/Internal.hs,containers,Internal.hs,classes,0,4,0
libraries/containers/containers-tests/src/Data/Sequence/Internal.hs,containers,Internal.hs,instances,0,4,0
libraries/containers/containers-tests/src/Data/Sequence/Internal.hs,containers,Internal.hs,terms,0,4,0
libraries/Cabal/Cabal/src/Distribution/FieldGrammar/FieldDescrs.hs,Cabal,FieldDescrs.hs,classes,0,1,0
libraries/Cabal/Cabal/src/Distribution/FieldGrammar/FieldDescrs.hs,Cabal,FieldDescrs.hs,instances,0,1,0
libraries/Cabal/Cabal/src/Distribution/FieldGrammar/FieldDescrs.hs,Cabal,FieldDescrs.hs,terms,0,1,0
libraries/Cabal/Cabal/src/Distribution/PackageDescription/Check.hs,Cabal,Check.hs,classes,0,9,0
libraries/Cabal/Cabal/src/Distribution/PackageDescription/Check.hs,Cabal,Check.hs,instances,0,9,0
libraries/Cabal/Cabal/src/Distribution/PackageDescription/Check.hs,Cabal,Check.hs,terms,0,9,0
libraries/Cabal/Cabal/src/Distribution/PackageDescription/Configuration.hs,Cabal,Configuration.hs,classes,0,2,0
libraries/Cabal/Cabal/src/Distribution/PackageDescription/Configuration.hs,Cabal,Configuration.hs,instances,0,2,0
libraries/Cabal/Cabal/src/Distribution/PackageDescription/Configuration.hs,Cabal,Configuration.hs,terms,0,2,0
libraries/Cabal/Cabal/src/Distribution/Types/InstalledPackageInfo/FieldGrammar.hs,Cabal,FieldGrammar.hs,classes,0,2,0
libraries/Cabal/Cabal/src/Distribution/Types/InstalledPackageInfo/FieldGrammar.hs,Cabal,FieldGrammar.hs,instances,0,2,0
libraries/Cabal/Cabal/src/Distribution/Types/InstalledPackageInfo/FieldGrammar.hs,Cabal,FieldGrammar.hs,terms,0,2,0
libraries/Cabal/Cabal/src/Distribution/Types/ModuleRenaming.hs,Cabal,ModuleRenaming.hs,classes,0,2,0
libraries/Cabal/Cabal/src/Distribution/Types/ModuleRenaming.hs,Cabal,ModuleRenaming.hs,instances,0,2,0
